numero_img,index,id,country,country_code,city,node_type,latitude,longitude,indice,category,Angle_0,Angle_90,Angle_180,Angle_270,Angle_0_count,Angle_90_count,Angle_180_count,Angle_270_count,total_tags
507,46,COL90,ecuador_colombia,COL,medellin,secundaria,6.277112,-75.5584609,COL_medellin_S_507,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
517,46,COL91,ecuador_colombia,COL,medellin,secundaria,6.2748305,-75.5583808,COL_medellin_S_517,autonomy,{'class_name': 'Cement box'},,,,1,0,0,0,1
527,46,COL92,ecuador_colombia,COL,medellin,secundaria,6.2784094,-75.5568456,COL_medellin_S_527,autonomy,,{'class_name': 'Shade umbrella'},,,0,1,0,0,1
542,46,COL93,ecuador_colombia,COL,medellin,secundaria,6.2783899,-75.5567269,COL_medellin_S_542,autonomy,{'class_name': 'Concrete planter'},,,,1,0,0,0,1
550,46,COL94,ecuador_colombia,COL,medellin,secundaria,6.2736681,-75.5590746,COL_medellin_S_550,autonomy,,{'class_name': 'Shade umbrella'},,,0,1,0,0,1
552,46,COL95,ecuador_colombia,COL,medellin,secundaria,6.2774158,-75.5572989,COL_medellin_S_552,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
557,46,COL96,ecuador_colombia,COL,medellin,secundaria,6.2764152,-75.5574775,COL_medellin_S_557,autonomy,,,{'class_name': 'Outdoor bench'},,0,0,1,0,1
560,46,COL97,ecuador_colombia,COL,medellin,secundaria,6.2790122,-75.5574618,COL_medellin_S_560,autonomy,,,,{'class_name': 'Stone bollard'},0,0,0,1,1
582,46,COL98,ecuador_colombia,COL,medellin,secundaria,6.2761763,-75.5558884,COL_medellin_S_582,autonomy,{'class_name': 'Concrete planter'},,,,1,0,0,0,1
5,47,MYA504147,tailandia,MYA,mandalay,secundaria,21.9681463,96.0768815,MYA_mandalay_S_5,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
31,47,MYA504147,tailandia,MYA,mandalay,secundaria,21.9659497,96.0784022,MYA_mandalay_S_31,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
98,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9650011,96.0742643,MYA_mandalay_S_98,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
99,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9650407,96.0750781,MYA_mandalay_S_99,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
105,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9634349,96.0799009,MYA_mandalay_S_105,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
127,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9644461,96.0800099,MYA_mandalay_S_127,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
134,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9659603,96.0770575,MYA_mandalay_S_134,autonomy,{'class_name': 'Shade umbrella'},,,,1,0,0,0,1
139,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9656103,96.0767133,MYA_mandalay_S_139,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",0,0,0,2,2
144,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.964407,96.0744302,MYA_mandalay_S_144,autonomy,{'class_name': 'Cement box'},,,,1,0,0,0,1
153,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9658067,96.0736102,MYA_mandalay_S_153,autonomy,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",{'class_name': 'Bench'},0,0,2,1,3
160,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9647878,96.0793938,MYA_mandalay_S_160,autonomy,,{'class_name': 'Bench'},{'class_name': 'Bench'},,0,1,1,0,2
174,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9631439,96.0745397,MYA_mandalay_S_174,autonomy,,,{'class_name': 'Bench'},{'class_name': 'Bench'},0,0,1,1,2
178,48,MYA503348,tailandia,MYA,mandalay,secundaria,21.9683477,96.0775262,MYA_mandalay_S_178,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
180,49,MYA501549,tailandia,MYA,mandalay,principal,21.9893021,96.07129983,MYA_mandalay_P_180,autonomy,{'class_name': 'Bench'},{'class_name': 'Bench'},,,1,1,0,0,2
181,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9892667,96.071754,MYA_mandalay_S_181,autonomy,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}","{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",,,2,2,0,0,4
198,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9872812,96.072213,MYA_mandalay_S_198,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",0,0,0,2,2
216,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9862577,96.0711495,MYA_mandalay_S_216,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
217,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9862805,96.0702335,MYA_mandalay_S_217,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
225,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9864964,96.0693677,MYA_mandalay_S_225,autonomy,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",,,0,2,0,0,2
237,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9893343,96.0704192,MYA_mandalay_S_237,autonomy,,,,{'class_name': 'Shade umbrella'},0,0,0,1,1
247,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9902187,96.0720465,MYA_mandalay_S_247,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
248,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9907034,96.0720746,MYA_mandalay_S_248,autonomy,,,{'class_name': 'Outdoor bench'},,0,0,1,0,1
262,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9906244,96.0690022,MYA_mandalay_S_262,autonomy,,{'class_name': 'Concrete planter'},,,0,1,0,0,1
271,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9868967,96.0686119,MYA_mandalay_S_271,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",0,0,0,2,2
278,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9883486,96.0707253,MYA_mandalay_S_278,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
286,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9891973,96.0707657,MYA_mandalay_S_286,autonomy,,,"{'class_name': 'Shade umbrella'}, {'class_name': 'Sun umbrella'}",,0,0,2,0,2
287,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9878047,96.0713752,MYA_mandalay_S_287,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
298,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9895341,96.0682472,MYA_mandalay_S_298,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
302,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9916495,96.0742403,MYA_mandalay_S_302,autonomy,,{'class_name': 'Stone bollard'},,,0,1,0,0,1
322,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9870335,96.068176,MYA_mandalay_S_322,autonomy,,{'class_name': 'Stone bollard'},,,0,1,0,0,1
324,49,MYA501549,tailandia,MYA,mandalay,secundaria,21.9886385,96.0715512,MYA_mandalay_S_324,autonomy,{'class_name': 'Shade umbrella'},,,,1,0,0,0,1
331,50,MYA501450,tailandia,MYA,mandalay,secundaria,21.9641335,96.1165307,MYA_mandalay_S_331,autonomy,{'class_name': 'Sun umbrella'},,,,1,0,0,0,1
