index|id|country|country_code|city|node_type|latitude|longitude
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.957896|-60.6866923
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9584293|-60.6913944
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9580695|-60.6881966
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9577331|-60.6853784
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9591616|-60.6909449
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9586677|-60.6916182
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9599684|-60.6858207
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9587066|-60.6919204
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9590317|-60.69162
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9569066|-60.6864497
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9566617|-60.6878451
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9564189|-60.6891855
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9583647|-60.6882623
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9594748|-60.6885486
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9608395|-60.6888977
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9595888|-60.6885783
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9598365|-60.6871729
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9611806|-60.6861266
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.959349|-60.6899385
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9592289|-60.6899078
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9591453|-60.6910389
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9590295|-60.6910645
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9622109|-60.6870479
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.960391|-60.6873316
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9606241|-60.6859862
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9624485|-60.6858356
3|ARGS2003HRZ3|Argentina|ARG|Rosario|secundaria|-32.9603018|-60.6887654
